male_ID,num_notes,num_notetype,song_length,pfcmax,pfcmin,bandwidth
BWMS,7,3,0.7703,4875,2343.75,2531.25
BWMS,7,3,0.5049,4968.75,2250,2718.75
BWMS,6,2,0.4486,5062.5,2343.75,2718.75
BWMS,6,2,0.4905,5437.5,2343.75,3093.75
BWMS,6,2,0.5081,5531.25,2250,3281.25
BWMS,6,2,0.5341,5343.75,2250,3093.75
BWMS,3,3,0.4974,5531.25,2718.75,2812.5
BWMS,3,3,0.5355,5250,2437.5,2812.5
BWMS,3,3,0.4914,5062.5,2531.25,2531.25
BWMS,3,3,0.5283,5343.75,2625,2718.75
BWMS,6,2,0.6318,5625,2343.75,3281.25
BWMS,5,2,0.5093,5906.25,2531.25,3375
BWMS,6,2,0.6,5343.75,2437.5,2906.25
BWMS,10,6,1.3293,6562.5,2156.25,4406.25
BWMS,6,3,0.7379,5812.5,3187.5,2625
BWMS,6,3,0.7179,5437.5,2625,2812.5
BWMS,6,3,0.7446,5531.25,3187.5,2343.75
BWMS,6,3,0.7134,5437.5,3281.25,2156.25
BWMS,6,3,0.7315,5437.5,3000,2437.5
BWMS,9,3,0.7666,5343.75,2531.25,2812.5
BWMS,2,1,0.2221,6000,4687.5,1312.5
BWMS,2,1,0.2219,6093.75,4875,1218.75
BWMS,9,4,0.9541,6281.25,2062.5,4218.75
BWMS,9,4,0.9785,5812.5,2062.5,3750
BWMS,9,4,1.0143,6656.25,2062.5,4593.75
BWMS,8,6,1.0013,6375,2062.5,4312.5
BWMS,8,6,0.9898,7125,2062.5,5062.5
BWMS,8,6,1.0267,4875,1968.75,2906.25
BWMS,9,7,1.1171,6375,2062.5,4312.5
BWMS,3,3,0.4683,4687.5,2156.25,2531.25
BWMS,3,3,0.5271,7125,2156.25,4968.75
BWMS,6,3,0.6548,5343.75,2343.75,3000
BWMS,6,3,0.5721,5250,2156.25,3093.75
BWMS,8,4,0.8064,6750,2343.75,4406.25
BWMS,4,3,0.7932,5812.5,2156.25,3656.25
BBGS,4,2,0.4222,4968.75,2343.75,2625
BBGS,4,2,0.4097,4968.75,2250,2718.75
BBGS,4,2,0.4317,5343.75,2062.5,3281.25
BBGS,5,3,0.7346,6468.75,2343.75,4125
BBGS,3,1,0.2072,4875,3000,1875
BBGS,4,2,0.4332,4593.75,2343.75,2250
BBGS,3,1,0.1993,4687.5,2812.5,1875
BBGS,9,4,0.9144,4968.75,2062.5,2906.25
BBGS,4,2,0.4137,4968.75,2531.25,2437.5
BBGS,4,2,0.429,4406.25,2156.25,2250
BBGS,4,2,0.5509,5718.75,2437.5,3281.25
BBGS,4,2,0.5185,5718.75,2343.75,3375
BBGS,4,2,0.5618,6281.25,2437.5,3843.75
BBGS,4,2,0.6152,5625,2437.5,3187.5
BBGS,4,2,0.5908,5906.25,2437.5,3468.75
BBGS,4,2,0.5336,7500,2156.25,5343.75
BBGS,3,1,0.2026,4406.25,2250,2156.25
BBGS,4,2,0.601,7968.75,2343.75,5625
BBGS,4,2,0.5027,7593.75,2343.75,5250
BBGS,4,2,0.5153,8531.25,2343.75,6187.5
BBGS,4,2,0.5383,7781.25,2531.25,5250
BBGS,4,2,0.5412,7500,2250,5250
BBGS,4,2,0.5587,7406.25,2250,5156.25
BBGS,5,3,0.6963,6375,2156.25,4218.75
BBGS,4,2,0.3185,5437.5,2343.75,3093.75
BBGS,5,3,0.5944,7218.75,2250,4968.75
BBGS,5,3,0.6099,6937.5,2437.5,4500
BBGS,4,2,0.365,5156.25,2343.75,2812.5
BBGS,6,4,0.6689,6187.5,2437.5,3750
BBGS,5,3,0.6269,5718.75,2437.5,3281.25
BBGS,6,4,0.6948,6187.5,2437.5,3750
BBGS,10,4,1.0289,7687.5,2343.75,5343.75
BBGS,9,4,1.0029,8625,2343.75,6281.25
BBGS,15,8,1.9819,9843.75,2062.5,7781.25
BBGS,6,2,0.6147,7781.25,2343.75,5437.5
BBGS,6,2,0.6907,7781.25,2343.75,5437.5
BBGS,3,2,0.5928,8531.25,2906.25,5625
BBGS,1,1,0.0861,9000,2062.5,6937.5
BBGS,1,1,0.1952,7406.25,4031.25,3375
BBGS,26,14,3.2413,9937.5,2062.5,7875
BBGS,12,7,1.7373,9656.25,2250,7406.25
BBGS,18,11,2.0385,7781.25,2062.5,5718.75
BBGS,30,12,4.3828,8437.5,2156.25,6281.25
BBGS,8,5,1.0486,6187.5,2343.75,3843.75
BBGS,8,5,1.0304,6562.5,2437.5,4125
BBGS,11,7,1.3735,8531.25,2250,6281.25
BBGS,5,3,0.6525,6656.25,3468.75,3187.5
BBGS,11,7,1.4225,7875,2156.25,5718.75
BBGS,14,6,1.717,9281.25,2250,7031.25
BBGS,4,2,0.3965,6750,3281.25,3468.75
GGOS,7,3,0.6713,5625,2343.75,3281.25
GGOS,5,2,0.3971,7406.25,2625,4781.25
GGOS,7,3,0.7428,8437.5,2718.75,5718.75
GGOS,7,3,0.6189,6375,2343.75,4031.25
GGOS,6,3,0.721,6281.25,2718.75,3562.5
GGOS,7,3,0.6758,5718.75,2531.25,3187.5
GGOS,7,3,0.6317,5718.75,2437.5,3281.25
GGOS,7,3,0.6529,6000,2250,3750
GGOS,5,2,0.4045,7125,2437.5,4687.5
GGOS,7,3,0.6491,5906.25,2343.75,3562.5
GGOS,6,3,0.4963,8437.5,2531.25,5906.25
GGOS,7,3,0.7168,8531.25,2625,5906.25
GGOS,6,3,0.5022,7218.75,2531.25,4687.5
GGOS,6,3,0.4455,7125,2531.25,4593.75
GGOS,5,2,0.4382,5343.75,2250,3093.75
GGOS,5,2,0.4206,6375,2156.25,4218.75
GGOS,5,2,0.4427,6093.75,2156.25,3937.5
GGOS,5,2,0.4531,6000,2156.25,3843.75
GGOS,5,2,0.428,5625,2156.25,3468.75
GGOS,5,2,0.4517,5906.25,2156.25,3750
GGOS,9,3,0.8916,6093.75,2343.75,3750
GGOS,8,2,0.6401,5718.75,2343.75,3375
GGOS,8,2,0.647,5718.75,2156.25,3562.5
GGOS,8,6,1.0982,8250,2062.5,6187.5
GGOS,8,6,1.0821,8343.75,2156.25,6187.5
GGOS,8,6,1.0927,8437.5,2156.25,6281.25
GGOS,8,6,1.1679,8625,2156.25,6468.75
GGOS,8,6,1.1475,8718.75,2062.5,6656.25
GGOS,11,5,1.1167,5718.75,2062.5,3656.25
GGOS,11,5,1.1687,7312.5,1968.75,5343.75
GGOS,11,5,1.2007,5531.25,2062.5,3468.75
GGOS,11,5,1.1788,6375,1968.75,4406.25
GGOS,11,5,1.2374,5718.75,2156.25,3562.5
GGOS,11,5,1.1983,5531.25,2156.25,3375
GGOS,11,5,1.3158,5906.25,2062.5,3843.75
GGOS,4,2,0.5487,6093.75,3281.25,2812.5
GGOS,4,2,0.5253,6187.5,3281.25,2906.25
GGOS,4,2,0.4999,6468.75,3468.75,3000
GGOS,4,2,0.534,5437.5,3375,2062.5
GGOS,4,2,0.5508,5812.5,3375,2437.5
GGOS,10,4,1.1634,5625,2156.25,3468.75
GGOS,2,1,0.2128,5250,4406.25,843.75
GGOS,10,4,1.2057,5625,2062.5,3562.5
GGOS,3,2,0.4109,4968.75,2437.5,2531.25
GGOS,7,3,0.7975,5812.5,2156.25,3656.25
GGOS,8,3,0.9345,6375,3468.75,2906.25
GGOS,5,3,0.5044,6093.75,2156.25,3937.5
GGOS,6,3,0.7257,7218.75,2250,4968.75
GGOS,1,1,0.1371,7968.75,2625,5343.75
GGOS,13,5,1.2013,8718.75,2062.5,6656.25
GOMS,5,2,0.5771,6562.5,2343.75,4218.75
GOMS,5,2,0.5774,6093.75,2250,3843.75
GOMS,5,4,0.4697,6187.5,2250,3937.5
GOMS,6,2,0.4596,5812.5,2906.25,2906.25
GOMS,6,2,0.534,6093.75,2718.75,3375
GOMS,6,2,0.5231,6000,2531.25,3468.75
GOMS,6,2,0.4814,6000,2718.75,3281.25
GOMS,6,2,0.5043,6000,2625,3375
GOMS,6,2,0.5166,5812.5,2250,3562.5
GOMS,1,1,0.1625,5906.25,4500,1406.25
GOMS,4,2,0.4987,6562.5,3656.25,2906.25
GOMS,4,2,0.5404,6093.75,3843.75,2250
GOMS,4,2,0.5199,5531.25,4031.25,1500
GOMS,4,2,0.5787,5156.25,3750,1406.25
GOMS,5,3,0.6619,6187.5,3562.5,2625
GOMS,4,2,0.4902,5156.25,3562.5,1593.75
GOMS,4,2,0.5324,6000,3281.25,2718.75
GOMS,4,2,0.5419,5812.5,4031.25,1781.25
GOMS,4,2,0.5066,6375,4031.25,2343.75
GOMS,4,2,0.5076,6187.5,3843.75,2343.75
GOMS,6,3,0.5996,7875,2250,5625
GOMS,6,3,0.6323,8625,2156.25,6468.75
GOMS,7,2,0.5773,7312.5,3093.75,4218.75
GOMS,7,2,0.5557,6656.25,2812.5,3843.75
GOMS,10,6,1.2629,7312.5,2156.25,5156.25
GOMS,11,6,1.3453,7406.25,1968.75,5437.5
GOMS,4,2,0.5156,8343.75,2906.25,5437.5
GOMS,7,2,0.7049,7500,2718.75,4781.25
GOMS,4,4,0.8861,5718.75,2250,3468.75
GOMS,3,3,0.4668,5812.5,2343.75,3468.75
GOMS,2,2,0.4633,6468.75,2250,4218.75
GOMS,8,4,1.0864,7781.25,2531.25,5250
GOMS,7,3,0.7687,5531.25,2343.75,3187.5
GOMS,4,4,1.8173,7781.25,2437.5,5343.75
GOMS,6,2,0.5029,6562.5,2156.25,4406.25
GOMS,6,2,0.7408,7218.75,2156.25,5062.5
GOMS,7,2,0.6538,6375,2156.25,4218.75
GOMS,6,2,0.5658,6562.5,2156.25,4406.25
GOMS,8,3,0.8919,6375,2062.5,4312.5
GOMS,5,2,0.4775,6468.75,2156.25,4312.5
GOMS,7,2,0.7625,6093.75,2156.25,3937.5
GOMS,7,2,0.8268,6656.25,2156.25,4500
GOMS,6,2,0.5877,6562.5,2625,3937.5
GOMS,6,2,0.654,6375,2156.25,4218.75
GOMS,6,2,0.8026,6656.25,2812.5,3843.75
GOMS,6,3,0.8087,7406.25,2812.5,4593.75
GOMS,8,4,0.9186,8625,2343.75,6281.25
GOMS,9,5,1.1682,8437.5,2437.5,6000
GOMS,8,4,1.1031,7312.5,2062.5,5250
GOMS,6,1,0.3822,6468.75,3468.75,3000
KKWS,6,3,0.7032,5906.25,2531.25,3375
KKWS,6,3,1.0333,7500,2156.25,5343.75
KKWS,6,3,1.0003,6375,2250,4125
KKWS,5,1,0.3725,5250,3656.25,1593.75
KKWS,5,1,0.3667,5343.75,3843.75,1500
KKWS,5,1,0.4052,5343.75,4125,1218.75
KKWS,2,2,0.1788,5718.75,2437.5,3281.25
KKWS,6,3,0.7063,6375,2250,4125
KKWS,6,3,0.7053,7125,2250,4875
KKWS,10,3,0.7105,6468.75,2343.75,4125
KKWS,10,3,0.8059,6187.5,2343.75,3843.75
KKWS,10,3,0.7822,6750,2531.25,4218.75
KKWS,4,3,0.6392,6281.25,2062.5,4218.75
KKWS,9,5,1.0148,7406.25,2156.25,5250
KKWS,5,3,0.6145,5718.75,2062.5,3656.25
KKWS,6,4,0.7717,6562.5,2062.5,4500
KKWS,13,6,1.5347,6468.75,2156.25,4312.5
KKWS,5,3,0.8803,6281.25,2718.75,3562.5
KKWS,7,2,0.5458,5812.5,2437.5,3375
KKWS,7,2,0.547,5906.25,2250,3656.25
KKWS,4,2,0.3907,5625,2437.5,3187.5
KKWS,4,2,0.3753,5718.75,2343.75,3375
KKWS,4,2,0.4081,6187.5,2531.25,3656.25
KKWS,4,2,0.3799,6000,2343.75,3656.25
KKWS,4,2,0.4047,5718.75,2343.75,3375
KKWS,4,2,0.3848,5531.25,2343.75,3187.5
KKWS,3,2,0.4531,6656.25,2718.75,3937.5
KKWS,3,2,0.4548,6093.75,2437.5,3656.25
KKWS,3,2,0.4068,6750,2343.75,4406.25
KKWS,3,2,0.4064,6187.5,2812.5,3375
KKWS,3,2,0.4564,6562.5,2625,3937.5
KKWS,3,2,0.3995,6937.5,2718.75,4218.75
KKWS,3,2,0.404,6937.5,2531.25,4406.25
KKWS,1,1,0.1787,6000,3093.75,2906.25
KKWS,4,4,0.7436,7125,3093.75,4031.25
KKWS,4,4,0.7328,7218.75,3000,4218.75
KKWS,4,4,0.7469,6937.5,2812.5,4125
KKWS,4,4,0.8111,7031.25,2250,4781.25
KKWS,4,4,0.7683,7218.75,2718.75,4500
KKWS,4,4,0.7682,7031.25,2625,4406.25
KKWS,3,2,0.3937,6562.5,4218.75,2343.75
KKWS,10,6,1.6336,7875,2156.25,5718.75
KKWS,9,5,1.1791,6656.25,2156.25,4500
KKWS,9,5,1.1688,6562.5,2156.25,4406.25
KKWS,9,5,1.2674,6375,2062.5,4312.5
KKWS,5,2,0.4821,9187.5,2343.75,6843.75
KKWS,5,2,0.4777,9000,2718.75,6281.25
KKWS,6,2,0.5172,8812.5,2718.75,6093.75
KKWS,5,2,0.4317,8906.25,2250,6656.25
KKWS,1,1,0.1644,5625,3656.25,1968.75
KMGS,4,2,0.5092,6187.5,3281.25,2906.25
KMGS,5,3,0.6804,6281.25,2625,3656.25
KMGS,5,3,0.6982,6375,2343.75,4031.25
KMGS,4,2,0.4703,6281.25,2812.5,3468.75
KMGS,4,2,0.5212,6281.25,3375,2906.25
KMGS,4,2,0.4762,6281.25,3093.75,3187.5
KMGS,3,1,0.2369,4968.75,3093.75,1875
KMGS,4,2,0.4508,6281.25,3187.5,3093.75
KMGS,4,2,0.4707,6281.25,3468.75,2812.5
KMGS,4,2,0.4561,6187.5,3281.25,2906.25
KMGS,5,4,0.6088,6000,2250,3750
KMGS,5,4,0.5797,6656.25,2156.25,4500
KMGS,5,4,0.6312,7031.25,2156.25,4875
KMGS,5,4,0.619,6093.75,2156.25,3937.5
KMGS,5,4,0.6144,6750,2343.75,4406.25
KMGS,5,4,0.5821,6000,2156.25,3843.75
KMGS,5,4,0.6263,6375,2625,3750
KMGS,8,4,0.9601,7500,2156.25,5343.75
KMGS,8,3,0.6101,6093.75,2437.5,3656.25
KMGS,10,5,0.7747,6093.75,2625,3468.75
KMGS,8,4,0.5783,5437.5,2718.75,2718.75
KMGS,8,4,0.5954,5437.5,2156.25,3281.25
KMGS,3,3,0.4518,6656.25,3187.5,3468.75
KMGS,5,3,0.662,5625,2437.5,3187.5
KMGS,3,3,0.4039,6468.75,2812.5,3656.25
KMGS,3,3,0.4843,8062.5,2812.5,5250
KMGS,8,2,0.4901,5531.25,2156.25,3375
KMGS,8,2,0.5646,7312.5,2156.25,5156.25
